# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.376417949016454,4.915639640307059,-0.2101380220400463,0,3.0,-0.6231446932940019,0.0,0.0,0.0
 0.0891968773166169,2.3883519931363986,4.9155958708061975,-0.2101380220400463,0.26759063194985067,3.0,-0.6231446932940019,0.0,-11.577918789232225,0.0
 0.12579726503897515,2.4001545742222223,4.915465287111112,-0.6338943387439224,0.37739179511692544,3.0000000000000004,-0.6361171756638535,0.0,-15.362078918394156,0.0
 0.1536472653495445,2.4118263653629106,4.915248976433043,-1.0617282413921907,0.46094179604863356,3.000000000000001,-0.6493308002027238,0.0,-18.55066819912445,0.0
 0.17693091024514487,2.4233680396474475,4.914948025983236,-1.4936554123167107,0.5307927307354346,3.0,-0.6627872959199509,0.0,-21.434084740573336,0.0
 0.19727396610503292,2.4347802701648185,4.914563522972935,-1.929690195499768,0.5918218983150988,3.0,-0.6764882305436672,0.0,-24.132877317264878,0.0
 0.21551279165654724,2.4460637300040076,4.914096554613383,-2.3698455349454592,0.6465383749696418,3.0000000000000044,-0.690435000432546,0.0,-26.711260613697434,0.0
 0.23214575345518018,2.4572190922540007,4.913548208115825,-2.814132912326417,0.6964372603655407,3.0,-0.7046288205788072,0.0,-29.208270984367488,0.0
 0.24749857499544747,2.468247030003782,4.9129195706915025,-3.2625622842491784,0.7424957249863425,3.0,-0.7190707139412195,0.0,-31.649723675072384,0.0
 0.26179821752158894,2.4791482163423364,4.912211729551661,-3.7151420188538697,0.7853946525647669,3.0,-0.7337615015085615,0.0,-34.05372858986288,0.0
 0.2752104584818501,2.489923324358649,4.911425771907544,-4.1718788322964455,0.8256313754455504,3.0,-0.7487017917890931,0.0,-36.43355941079266,0.0
 0.28786085279192564,2.5005730271417046,4.910562784970395,-4.632777724962536,0.863582558375777,3.0,-0.7638919706121537,0.0,-38.79927965960471,0.0
 0.2998472658605309,2.5110979977804875,4.909623855951458,-5.097841917726892,0.8995417975815927,2.9999999999999907,-0.7793321908735275,0.0,-41.15872584170585,0.0
 0.311247785701444,2.521498909363983,4.908610072061976,-5.567072788311963,0.933743357104332,2.999999999999995,-0.795022362624062,0.0,-43.5181327973555,0.0
 0.3221259412949816,2.531776434981176,4.907522520513194,-6.040469808021828,0.9663778238849449,3.000000000000005,-0.810962143139299,0.0,-45.8825480481504,0.0
 0.3325342706324877,2.541931247721051,4.906362288516355,-6.518030478950924,0.9976028118974631,3.0000000000000053,-0.8271509275086861,0.0,-48.256115735526606,0.0
 0.3425168352392588,2.5519640206725933,4.905130463282703,-6.999750271952642,1.0275505057177765,3.0000000000000058,-0.8435878391112962,0.0,-50.64227672778578,0.0
 0.3521110384393057,2.5618754269247876,4.903828132023481,-7.485622565392025,1.0563331153179172,3.0,-0.8602717211593293,0.0,-53.04391309060096,0.0
 0.36134896964085605,2.5716661395666187,4.902456381949934,-7.975638585184013,1.0840469089225684,3.000000000000012,-0.8772011279071621,0.0,-55.46345450738743,0.0
 0.3702584175874136,2.5813368316870715,4.901016300273304,-8.469787346053845,1.1107752527622412,3.0000000000000124,-0.894374316950985,0.0,-57.90295810636325,0.0
 0.37886364717572135,2.590888176375131,4.899508974204838,-8.968055594401266,1.1365909415271642,2.9999999999999805,-0.9117892420456075,0.0,-60.3641692779732,0.0
 0.38718600404180414,2.600320846719781,4.897935490955776,-9.470427753057189,1.1615580121254128,3.00000000000002,-0.9294435462634808,0.0,-62.848568626296924,0.0
 0.39524439146396145,2.6096355158100075,4.896296937737364,-9.97688586797593,1.1857331743918846,2.999999999999993,-0.9473345564251943,0.0,-65.35740871482716,0.0
 0.40305565111251035,2.6188328567347954,4.894594401760844,-10.487409557403778,1.2091669533375313,3.0,-0.9654592778321239,0.0,-67.8917430983659,0.0
 0.41063487036096596,2.627913542583129,4.8928289702374625,-11.001975963506117,1.2319046110828982,3.0,-0.9838143904960333,0.0,-70.45244956000697,0.0
 0.4179956327864523,2.636878246443993,4.891001730378461,-11.520559707010886,1.2539868983593574,3.00000000000003,-1.0023962456791637,0.0,-73.04024882970796,0.0
 0.4251502242090275,2.645727641406373,4.889113769395085,-12.043132844790673,1.275450672627083,2.9999999999999925,-1.0212008643564172,0.0,-75.65571990038413,0.0
 0.4321098035640427,2.6544624005592525,4.887166174498574,-12.5696648310982,1.2963294106921286,3.0,-1.0402239359530243,0.0,-78.29931258397134,0.0
 0.4388845456870274,2.663083196991618,4.885160032900178,-13.100122482261575,1.3166536370610826,3.0,-1.059460819328537,0.0,-80.97135803038212,0.0
 0.44548376146376345,2.671590703792453,4.883096431811137,-13.634469945639417,1.3364512843912908,3.0,-1.0789065440756915,0.0,-83.6720775177121,0.0
 0.451915999588339,2.679985594050743,4.880976458442695,-14.172668672611287,1.3557479987650174,2.9999999999999916,-1.0985558140163123,0.0,-86.40158999182253,0.0
 0.4581891332618491,2.6882685408554736,4.878801200006096,-14.714677396233803,1.3745673997855477,2.9999999999999822,-1.1184030120660218,0.0,-89.15991858311212,0.0
 0.46431043447257125,2.696440217295628,4.876571743712584,-15.260452113804494,1.3929313034177142,3.000000000000027,-1.1384422062402462,0.0,-91.94699629782328,0.0
 0.47028663796730635,2.7045012964601924,4.874289176773403,-15.809946074409941,1.4108599139019196,3.0000000000000093,-1.1586671580102226,0.0,-94.76267114259667,0.0
